repo,url,description,category,priority,why,stars,forks,openIssues,language,license,licenseReviewRequired,createdAt,updatedAt,pushedAt,defaultBranch,archived,fork,starThreshold,meetsStarThreshold,strategicException
huggingface/candle,https://github.com/huggingface/candle,Minimalist ML framework for Rust,rust-runtime,evaluate,Rust ML and inference framework.,20682,1656,807,Rust,Apache-2.0,False,2023-06-19T16:06:31Z,2026-07-17T17:26:40Z,2026-07-14T17:28:02Z,main,False,False,10000,True,False
mlc-ai/web-llm,https://github.com/mlc-ai/web-llm,High-performance In-browser LLM Inference Engine,model-runtime,watch,In-browser model inference.,18380,1326,148,TypeScript,Apache-2.0,False,2023-04-13T18:11:59Z,2026-07-17T19:05:47Z,2026-06-09T03:38:30Z,main,False,False,10000,True,False
microsoft/BitNet,https://github.com/microsoft/BitNet,Official inference framework for 1-bit LLMs,model-runtime,watch,1-bit model inference research and runtime.,39746,3654,304,C++,MIT,False,2024-08-05T09:07:38Z,2026-07-17T18:15:48Z,2026-07-17T03:43:50Z,main,False,False,10000,True,False
mudler/LocalAI,https://github.com/mudler/LocalAI,"LocalAI is the open-source AI engine. Run any model - LLMs, vision, voice, image, video - on any hardware. No GPU required.",model-runtime,evaluate,Local multi-modal OpenAI-compatible inference engine across commodity hardware.,47598,4250,178,Go,MIT,False,2023-03-18T22:58:02Z,2026-07-17T19:21:38Z,2026-07-17T18:50:16Z,master,False,False,10000,True,False
exo-explore/exo,https://github.com/exo-explore/exo,Run frontier AI locally.,model-runtime,watch,Distributed local inference across heterogeneous personal devices.,46343,3358,306,Python,Apache-2.0,False,2024-06-24T18:36:22Z,2026-07-17T19:05:08Z,2026-06-23T18:59:18Z,main,False,False,10000,True,False
ml-explore/mlx,https://github.com/ml-explore/mlx,MLX: An array framework for Apple silicon,model-runtime,watch,Apple-silicon array and model runtime for sovereign local execution.,27576,2017,149,C++,MIT,False,2023-11-28T23:33:45Z,2026-07-17T17:08:09Z,2026-07-17T16:53:05Z,main,False,False,10000,True,False
lm-sys/FastChat,https://github.com/lm-sys/FastChat,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",model-runtime,reference,"Training, serving and evaluation architecture behind early open chat systems.",39489,4785,1034,Python,Apache-2.0,False,2023-03-19T00:18:02Z,2026-07-17T17:22:22Z,2026-05-01T00:25:53Z,main,False,False,10000,True,False
0xPlaygrounds/rig,https://github.com/0xPlaygrounds/rig,⚙️🦀 Build modular and scalable LLM Applications in Rust,rust-runtime,strategic-exception,Rust agent application framework; direct code-first architecture benchmark even if below threshold.,7960,888,87,Rust,MIT,False,2024-06-05T13:42:28Z,2026-07-17T19:32:14Z,2026-07-17T19:31:25Z,main,False,False,10000,False,True
EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs,"Fast, flexible LLM inference",rust-runtime,strategic-exception,Rust local inference and serving; useful for sovereign runtime evaluation.,7488,660,379,Rust,MIT,False,2024-02-26T22:30:06Z,2026-07-17T14:29:48Z,2026-07-17T11:03:42Z,master,False,False,10000,False,True
restatedev/restate,https://github.com/restatedev/restate,Restate is the platform for building resilient applications that tolerate all infrastructure faults w/o the need for a PhD.,rust-runtime,strategic-exception,Rust durable execution substrate for reliable agents even if below threshold.,4175,183,385,Rust,NOASSERTION,True,2023-01-04T15:03:32Z,2026-07-17T08:44:58Z,2026-07-17T12:01:01Z,main,False,False,10000,False,True
hatchet-dev/hatchet,https://github.com/hatchet-dev/hatchet,"🪓 An orchestration engine for background tasks, AI agents, and durable workflows",durable-execution,strategic-exception,Modern durable task queue with agent workflow fit even if below threshold.,7518,452,132,Go,MIT,False,2023-12-15T17:50:29Z,2026-07-17T18:56:49Z,2026-07-17T19:25:38Z,main,False,False,10000,False,True
microsoft/markitdown,https://github.com/microsoft/markitdown,Python tool for converting files and office documents to Markdown.,document-ingestion,adopt-adjacent,Convert common files to LLM-ready markdown.,166850,11976,842,Python,MIT,False,2024-11-13T19:56:40Z,2026-07-17T19:20:42Z,2026-06-24T15:32:46Z,main,False,False,10000,True,False
docling-project/docling,https://github.com/docling-project/docling,Get your documents ready for gen AI,document-ingestion,evaluate,Structured document conversion and parsing.,63367,4482,933,Python,MIT,False,2024-07-09T07:50:26Z,2026-07-17T19:24:43Z,2026-07-17T15:50:14Z,main,False,False,10000,True,False
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,"The API to search, scrape, and interact with the web at scale. 🔥",document-ingestion,evaluate,Web data extraction for agents and RAG.,152357,8701,415,TypeScript,AGPL-3.0,False,2024-04-15T21:02:29Z,2026-07-17T19:33:47Z,2026-07-17T13:19:27Z,main,False,False,10000,True,False
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the gap between images/PDFs and LLMs. Supports 100+ languages.",document-ingestion,evaluate,Multilingual OCR and document structure extraction.,85716,11035,218,Python,Apache-2.0,False,2020-05-08T10:38:16Z,2026-07-17T19:20:46Z,2026-07-15T06:38:12Z,main,False,False,10000,True,False
opendatalab/MinerU,https://github.com/opendatalab/MinerU,Transforms complex documents like PDFs and Office docs into LLM-ready markdown/JSON for your Agentic workflows.,document-ingestion,evaluate,Complex PDF and Office conversion to markdown/JSON.,74937,6300,47,Python,NOASSERTION,True,2024-02-29T08:52:34Z,2026-07-17T19:15:18Z,2026-07-17T07:32:08Z,master,False,False,10000,True,False
opendataloader-project/opendataloader-pdf,https://github.com/opendataloader-project/opendataloader-pdf,PDF Parser for AI-ready data. Automate PDF accessibility. Open-source.,document-ingestion,watch,AI-ready PDF parser.,27418,2630,74,Java,Apache-2.0,False,2025-05-13T05:48:02Z,2026-07-17T18:26:40Z,2026-07-16T20:27:04Z,main,False,False,10000,True,False
Unstructured-IO/unstructured,https://github.com/Unstructured-IO/unstructured,"Convert documents to structured data effortlessly. Unstructured is open-source ETL solution for transforming complex documents into clean, structured formats for language models.  Visit our website to learn more about our enterprise grade Platform product for production grade workflows, partitioning, enrichments, chunking and embedding.",document-ingestion,evaluate,Document ETL and partitioning for RAG pipelines.,15151,1274,274,HTML,Apache-2.0,False,2022-09-26T21:53:41Z,2026-07-17T14:35:27Z,2026-07-15T21:10:36Z,main,False,False,10000,True,False
livekit/agents,https://github.com/livekit/agents,A framework for building realtime voice AI agents 🤖🎙️📹,voice-realtime,evaluate,Realtime voice and multimodal agent framework.,11406,3347,688,Python,Apache-2.0,False,2023-10-19T23:00:55Z,2026-07-17T19:11:12Z,2026-07-17T18:49:55Z,main,False,False,10000,True,False
TEN-framework/ten-framework,https://github.com/TEN-framework/ten-framework,Open-source framework for conversational voice AI agents,voice-realtime,evaluate,Conversational voice-agent framework.,10907,1321,211,Python,NOASSERTION,True,2024-06-19T14:26:15Z,2026-07-17T13:05:16Z,2026-07-17T10:57:06Z,main,False,False,10000,True,False
pipecat-ai/pipecat,https://github.com/pipecat-ai/pipecat,Open Source framework for voice and multimodal conversational AI,voice-realtime,evaluate,Realtime voice and multimodal agent pipelines.,13517,2327,223,Python,BSD-2-Clause,False,2023-12-27T12:59:00Z,2026-07-17T19:22:12Z,2026-07-17T19:33:50Z,main,False,False,10000,True,False
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",creative-media,adopt-adjacent,Node-based generative media execution substrate.,121163,14247,4290,Python,GPL-3.0,False,2023-01-17T03:15:56Z,2026-07-17T19:30:05Z,2026-07-17T18:48:20Z,master,False,False,10000,True,False
remotion-dev/remotion,https://github.com/remotion-dev/remotion,🎥      Make videos programmatically with React,creative-media,adopt-adjacent,Code-native video rendering for repeatable agent outputs.,53513,3877,150,TypeScript,NOASSERTION,True,2020-06-23T19:49:10Z,2026-07-17T19:18:39Z,2026-07-17T18:04:42Z,main,False,False,10000,True,False
calesthio/OpenMontage,https://github.com/calesthio/OpenMontage,"World's first open-source, agentic video production system. 12 pipelines, 52 tools, 500+ agent skills. Turn your AI coding assistant into a full video production studio.",creative-media,evaluate,Agentic video production system and skills library.,39485,4673,184,Python,AGPL-3.0,False,2026-03-29T15:23:22Z,2026-07-17T19:20:45Z,2026-07-12T17:48:37Z,main,False,False,10000,True,False
heygen-com/hyperframes,https://github.com/heygen-com/hyperframes,Write HTML. Render video. Built for agents.,creative-media,evaluate,Agent-oriented HTML-to-video renderer.,35927,3362,181,TypeScript,Apache-2.0,False,2026-03-10T01:51:06Z,2026-07-17T19:31:23Z,2026-07-17T19:33:32Z,main,False,False,10000,True,False
airbytehq/airbyte,https://github.com/airbytehq/airbyte,"Open-source data movement for ELT pipelines and AI agents — from APIs, databases & files to warehouses, lakes, and AI applications. Both self-hosted and Cloud.",data-integration,evaluate,Large connector fabric for agent data movement.,21645,5257,2511,Python,NOASSERTION,True,2020-07-27T23:55:54Z,2026-07-17T18:56:58Z,2026-07-17T19:27:20Z,master,False,False,10000,True,False
screenpipe/screenpipe,https://github.com/screenpipe/screenpipe,"YC (S26) | Record how you work and turn that into agents. Local, private, secure. Connect to OpenClaw, Hermes agent and 100+ apps",rust-runtime,evaluate,Rust local work capture substrate for private memory and agents.,20233,1989,109,Rust,NOASSERTION,True,2024-06-19T13:23:56Z,2026-07-17T19:20:17Z,2026-07-17T19:19:32Z,main,False,False,10000,True,False
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,"Open Data Platform for analysts, quants and AI agents.",domain-platform,evaluate,Open financial data platform for analyst and investor agents.,70702,7184,78,Python,NOASSERTION,True,2020-12-20T10:46:38Z,2026-07-17T19:26:53Z,2026-07-17T11:15:28Z,develop,False,False,10000,True,False
gitroomhq/postiz-app,https://github.com/gitroomhq/postiz-app,📨 The ultimate agentic social media scheduling tool 🤖,domain-platform,evaluate,Agentic social publishing and scheduling surface.,33435,6235,201,TypeScript,AGPL-3.0,False,2023-07-08T17:24:22Z,2026-07-17T19:19:51Z,2026-07-17T07:45:00Z,main,False,False,10000,True,False
ToolJet/ToolJet,https://github.com/ToolJet/ToolJet,"ToolJet is the open-source foundation of ToolJet AI - the enterprise app generation platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀",domain-platform,watch,Internal tools and business apps for human-agent operations.,38223,5172,1032,JavaScript,AGPL-3.0,False,2021-03-30T08:51:34Z,2026-07-17T14:54:18Z,2026-07-17T15:02:16Z,main,False,False,10000,True,False
Budibase/budibase,https://github.com/Budibase/budibase,"AI agents, automations and apps that run your operations. Model agnostic.",domain-platform,watch,"Operational apps, automations and agent surfaces.",28127,2179,239,TypeScript,NOASSERTION,True,2019-06-07T11:03:41Z,2026-07-17T19:16:29Z,2026-07-17T15:43:51Z,master,False,False,10000,True,False
